kind,precinct,name,room,address,city,zip,bus,extended,note
both,223,Ben Hur Shrine Center,Ballroom,7811 Rockwood Ln,Austin,78757,Yes,1,
both,375,Lakeway Activity Center,Room F,105 Cross Creek,Lakeway,78734,No,1,
both,101,Millennium Youth Entertainment Complex,East Media and Conference Room,1156 Hargrave St,Austin,78702,Yes,1,
both,171,PfISD Rock Gym,Gymnasium,702 W Pecan St,Pflugerville,78660,No,1,
both,333,Randalls Brodie,Café,9911 Brodie Ln,Austin,78748,No,1,
both,215,Travis County Clerk,Early Voting Room,5501 Airport Blvd,Austin,78751,Yes,1,
both,312,UT Texas Union,Room 2.214,2308 Whitis Ave,Austin,78712,Yes,1,
both,301,Austin City Hall,Media Room 1034,301 W 2nd St,Austin,78701,Yes,0,
both,107,Austin Energy Headquarters,Capital Training Room,4815 Mueller Blvd,Austin,78723,Yes,0,
both,350,Austin Oaks Church,Family Life Foyer,4220 Monterey Oaks Blvd,Austin,78749,No,0,
both,216,Austin Permitting and Development Center,Room 1407,6310 Wilhelmina Delco Dr,Austin,78752,No,0,
both,308,Austin Recreation Center,Dance Studio,1301 Shoal Creek Blvd,Austin,78701,Yes,0,
both,384,Balcones Bingo,Main Hall,13096 US 183,Austin,78750,No,0,
both,448,Bedichek Middle School,Small Gymnasium,6800 Bill Hughes Rd,Austin,78745,Yes,0,
both,292,Bee Cave City Hall,Community Room A and B,4000 Galleria Pkwy,Bee Cave,78738,No,0,
both,100,Carver Branch Library,Meeting Room 2,1161 Angelina St,Austin,78702,Yes,0,
both,403,Cepeda Branch Library,Meeting Room 1,651 N Pleasant Valley Rd,Austin,78702,Yes,0,
both,250,Chinatown Center,Building B-1 former bank,10901 N Lamar Blvd,Austin,78753,Yes,0,
both,388,Christ Episcopal Church,Outreach Center,3520 W Whitestone Blvd,Cedar Park,78613,No,0,
both,343,Circle C Community Center,Meeting Room 2,7817 La Crosse Ave,Austin,78739,No,0,
both,459,Community Center At Del Valle,Activity Room Bldg D,3518 S FM 973,Del Valle,78617,Yes,0,
both,352,Community Center at Oak Hill,Community Room,8656 W State Hwy 71,Austin,78735,No,0,
both,423,Dan Ruiz Branch Library,Meeting Rooms 1 and 2,1600 Grove Blvd,Austin,78741,Yes,0,
both,244,Disability Rights Texas,Board Rooms,2222 W Braker Ln,Austin,78758,Yes,0,
both,260,Former Verizon,Suite 9705D,9705 Research Blvd,Austin,78759,No,0,
both,463,George Morales Dove Springs Recreation Center,Dance Studio,5801 Ainez Dr,Austin,78744,No,0,
both,131,Gus Garcia Recreation Center,Senior Room,1201 E Rundberg Ln,Austin,78753,Yes,0,
both,281,Lago Vista Public Library,Meeting Room,5803 Thunderbird St Ste 40,Lago Vista,78645,Yes,0,
both,204,LBJ School Of Public Affairs,Lobby,2315 Red River St,Austin,78712,Yes,0,
both,126,Manor ISD Admin Building,Technology Room,10335 Hwy 290,Manor,78653,No,0,
